LGA_NAME,Lat,Long,Information
"""SSV 1U""","""37.471231""","""-122.143965""","""St Francis"""
"""SSV 1D""","""37.468445""","""-122.141067""","""Firehouse"""
"""SSV 2U""","""37.469505""","""-122.141069""","""TBA"""
"""SSV 2D""","""37.471531""","""-122.143965""","""St Francis"""
"""Wind""","""37.471531""","""-122.143965""","""St Francis"""
"""GW1""","""37.468445""","""-122.141067""","""Firehouse"""
"""GW2""","""37.471531""","""-122.143965""","""St Francis"""
